"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Peter Boehringer"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/peter-boehringer"
"Daniela Kuge"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/daniela-kuge"
"Wibke Brems"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/wibke-brems"
"Johannes Steiniger"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-steiniger"
"Anna Kassautzki"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/anna-kassautzki"
"Volker Redder"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-redder"
"Stephan Jersch"," DIE LINKE","Hamburg","https://www.abgeordnetenwatch.de//profile/stephan-jersch"
"Daniel Günther"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/daniel-guenther"
"Anna Deparnay-Grunenberg"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/anna-deparnay-grunenberg"
"Nadyne Saint-Cast"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nadyne-saint-cast"
"Rainer Semet"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/rainer-semet"
"Peter Liese"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/peter-liese"
"Jennifer Jasberg"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/jennifer-jasberg"
"Anja Liebert"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/anja-liebert"
"Ina Latendorf"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/ina-latendorf"
"Bettina Hoffmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/bettina-hoffmann"
"Markus Rösler"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/markus-roesler"
"Susanne Mittag"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/susanne-mittag"
"Peter Aumer"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/peter-aumer"
"Anke Frieling"," CDU","Hamburg","https://www.abgeordnetenwatch.de//profile/anke-frieling"
"Daniel Rinkert"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/daniel-rinkert"
"Thomas Hering"," CDU","Hessen","https://www.abgeordnetenwatch.de//profile/thomas-hering"
"Jens Peick"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jens-peick"
"Mareike Lotte Wulf"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/mareike-lotte-wulf"
"Wiebke Papenbrock"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/wiebke-papenbrock"
"Tim Achtermeyer"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/tim-achtermeyer"
"Daniel Caspary"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-caspary"
"Niclas Herbst"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/niclas-herbst"
"Michael Frieser"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-frieser"
"Gabriele Katzmarek"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/gabriele-katzmarek"
"Natalie Pawlik"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/natalie-pawlik"
"Martin Gassner-Herz"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-gassner-herz"
"Anette Kramme"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/anette-kramme"
"Tobias Krull"," CDU","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/tobias-krull"
"Klaus Holetschek"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/klaus-holetschek"
"Martin Diedenhofen"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-diedenhofen"
"Katja Leikert"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-leikert"
"Thomas Hering"," CDU","Hessen","https://www.abgeordnetenwatch.de//profile/thomas-hering"
"Jens Peick"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jens-peick"
"Mareike Lotte Wulf"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/mareike-lotte-wulf"
"Wiebke Papenbrock"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/wiebke-papenbrock"
"Tim Achtermeyer"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/tim-achtermeyer"
"Michael Frieser"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-frieser"
"Daniel Caspary"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-caspary"
"Niclas Herbst"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/niclas-herbst"
"Gabriele Katzmarek"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/gabriele-katzmarek"
"Anette Kramme"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/anette-kramme"
"Natalie Pawlik"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/natalie-pawlik"
"Martin Gassner-Herz"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-gassner-herz"
"Daniel Köbler"," Bündnis 90/Die Grünen","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/daniel-koebler"
"Lina Seitzl"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lina-seitzl"
"Schahina Gambir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/schahina-gambir"
"Sebastian Schäfer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-schaefer-0"
"Muhanad Al-Halak"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/muhanad-al-halak"
"Jan-Marco Luczak"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-marco-luczak"
"Niklas Wagener"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/niklas-wagener"
"Christof Rasche"," FDP","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/christof-rasche"
"Gero Hocker"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/gero-hocker"
"Franziska Hoppermann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/franziska-hoppermann"
"Carina Konrad"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/carina-konrad"
"Bernhard Braun"," Bündnis 90/Die Grünen","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/bernhard-braun"
"Nadine Ruf"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nadine-ruf"
"Norbert Hackbusch"," DIE LINKE","Hamburg","https://www.abgeordnetenwatch.de//profile/norbert-hackbusch"
"Milan Pein"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/milan-pein"
"Jörg Blöming"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/joerg-bloeming"
"Michael Gwosdz"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/michael-gwosdz"
"Sabine Böddinghaus"," DIE LINKE","Hamburg","https://www.abgeordnetenwatch.de//profile/sabine-boeddinghaus"
"Maik Außendorf"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/maik-aussendorf"
"Konrad Stockmeier"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/konrad-stockmeier"
"Claudia Maicher"," Bündnis 90/Die Grünen","Sachsen","https://www.abgeordnetenwatch.de//profile/claudia-maicher"
"Dunja Kreiser"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dunja-kreiser"
"Sergey Lagodinsky"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sergey-lagodinsky"
"Daniel Köbler"," Bündnis 90/Die Grünen","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/daniel-koebler"
"Lina Seitzl"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lina-seitzl"
"Schahina Gambir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/schahina-gambir"
"Sebastian Schäfer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-schaefer-0"
"Muhanad Al-Halak"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/muhanad-al-halak"
"Sergey Lagodinsky"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sergey-lagodinsky"
"Daniel Köbler"," Bündnis 90/Die Grünen","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/daniel-koebler"
"Lina Seitzl"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lina-seitzl"
"Schahina Gambir"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/schahina-gambir"
"Ralf Witzel"," FDP","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/ralf-witzel"
"Karl Bär"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/karl-baer"
"Barbara Klepsch"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/barbara-klepsch"
"Ulrike Harzer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/ulrike-harzer"
"Alexander Salomon"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/alexander-salomon"
"Astrid Damerow"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/astrid-damerow"
"Anja Reinalter"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/anja-reinalter"
"André Schulze"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/andre-schulze"
"Clarissa Herbst"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/clarissa-herbst"
"Sabine Jansen"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/sabine-jansen"
"Nadine Schön"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/nadine-schoen"
"Paul Lehrieder"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/paul-lehrieder"
"Doris Ahnen"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/doris-ahnen"
"Volker Bajus"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/volker-bajus"
"Hardy Lux"," SPD","Brandenburg","https://www.abgeordnetenwatch.de//profile/hardy-lux"
"Sina Imhof"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/sina-imhof"
"Michael Breilmann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-breilmann"
"Michael Kießling"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kiessling"
"Julia Höller"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/julia-hoeller"
"Marc Henrichmann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/marc-henrichmann"
"Laura Wahl"," Bündnis 90/Die Grünen","Thüringen","https://www.abgeordnetenwatch.de//profile/laura-wahl"
"Susanne Schaper"," DIE LINKE","Sachsen","https://www.abgeordnetenwatch.de//profile/susanne-schaper"
"Susanna Kahlefeld"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/susanna-kahlefeld"
"Erhard Grundl"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/erhard-grundl"
"Rebecca Schamber"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rebecca-schamber"
"Franziska Mascheck"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/franziska-mascheck"
"Ralf Witzel"," FDP","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/ralf-witzel"
"Karl Bär"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/karl-baer"
"Barbara Klepsch"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/barbara-klepsch"
"Ulrike Harzer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/ulrike-harzer"
"Alexander Salomon"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/alexander-salomon"
"Markus Schreiber"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/markus-schreiber"
"Thomas Röwekamp"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thomas-roewekamp"
"Daniel Born"," SPD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/daniel-born"
"Jörg Schneider"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/joerg-schneider"
"Michael Joukov"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/michael-joukov"
"Stefanie Seemann"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/stefanie-seemann"
"Jürgen Coße"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/juergen-cosse"
"Stephan Protschka"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-protschka"
"Henning Rehbaum"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/henning-rehbaum"
"Andreas Winhart"," AfD","Bayern","https://www.abgeordnetenwatch.de//profile/andreas-winhart"
"Katina Schubert"," DIE LINKE","Berlin","https://www.abgeordnetenwatch.de//profile/katina-schubert"
"Björn Lüttmann"," SPD","Brandenburg","https://www.abgeordnetenwatch.de//profile/bjoern-luettmann"
"Dirk Nockemann"," AfD","Hamburg","https://www.abgeordnetenwatch.de//profile/dirk-nockemann"
"Klaus Mack"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/klaus-mack"
"Ansgar Mayr"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/ansgar-mayr"
"Lisa Kern"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/lisa-kern"
"Markus Reichel"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/markus-reichel"
"Henning Otte"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/henning-otte"
"Daniela De Ridder"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/daniela-de-ridder"
"Till Mansmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/till-mansmann"
"Zanda Martens"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/zanda-martens"
"Angelika Niebler"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/angelika-niebler"
"Petra Budke"," Bündnis 90/Die Grünen","Brandenburg","https://www.abgeordnetenwatch.de//profile/petra-budke"
"Roman Simon"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/roman-simon"
"Fabian Funke"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/fabian-funke"
"Michael Joukov"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/michael-joukov"
"Anne Janssen"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/anne-janssen"
"Matthias Helferich"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-helferich"
"Petra Olschowski"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/petra-olschowski"
"Yannick Bury"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/yannick-bury"
"Karolin Braunsberger-Reinhold"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/karolin-braunsberger-reinhold"
"Christin Melcher"," Bündnis 90/Die Grünen","Sachsen","https://www.abgeordnetenwatch.de//profile/christin-melcher"
"Carolin Wagner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carolin-wagner"
"Laura Kraft"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/laura-kraft"
"Anna Nguyen"," AfD","Hessen","https://www.abgeordnetenwatch.de//profile/anna-nguyen"
"Farid Müller"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/farid-mueller"
"Andrej Hunko"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/andrej-hunko"
"Cornelia Seibeld"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/cornelia-seibeld"
"Katina Schubert"," DIE LINKE","Berlin","https://www.abgeordnetenwatch.de//profile/katina-schubert"
"Stefanie Seemann"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/stefanie-seemann"
"Jürgen Coße"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/juergen-cosse"
"Stephan Protschka"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-protschka"
"Henning Rehbaum"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/henning-rehbaum"
"Andreas Winhart"," AfD","Bayern","https://www.abgeordnetenwatch.de//profile/andreas-winhart"
"Björn Lüttmann"," SPD","Brandenburg","https://www.abgeordnetenwatch.de//profile/bjoern-luettmann"
"Yannick Bury"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/yannick-bury"
"Karolin Braunsberger-Reinhold"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/karolin-braunsberger-reinhold"
"Martin Reichardt"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-reichardt"
"Arne Platzbecker"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/arne-platzbecker"
"Marcus Bühl"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/marcus-buehl"
"Ingo Gädechens"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ingo-gaedechens"
"Torsten Gahler"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/torsten-gahler"
"Andreas Stoch"," SPD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-stoch"
"Christian Leye"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-leye"
"Albrecht Glaser"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/albrecht-glaser"
"Emily Vontz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/emily-vontz"
"Peter Heidt"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/peter-heidt"
"Ute Leidig"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/ute-leidig"
"Lena Düpont"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lena-duepont"
"Denise Loop"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/denise-loop"
"Marc Schemmel"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/marc-schemmel"
"Axel Schäfer"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/axel-schaefer"
"Thomas Ehrhorn"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/thomas-ehrhorn"
"Stephan Hösl"," FREIE WÄHLER","Sachsen","https://www.abgeordnetenwatch.de//profile/stephan-hoesl"
"Hans-Peter Behrens"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/hans-peter-behrens"
"Eva Viehoff"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/eva-viehoff"
"Katrin Schmidberger"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/katrin-schmidberger"
"Arne Platzbecker"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/arne-platzbecker"
"Martin Reichardt"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-reichardt"
"Ingo Gädechens"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ingo-gaedechens"
"Marcus Bühl"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/marcus-buehl"
"Andreas Stoch"," SPD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-stoch"
"Christian Leye"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-leye"
"Torsten Gahler"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/torsten-gahler"
"Emily Vontz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/emily-vontz"
"Albrecht Glaser"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/albrecht-glaser"
"Denise Loop"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/denise-loop"
"Marc Schemmel"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/marc-schemmel"
"Axel Schäfer"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/axel-schaefer"
"Thomas Ehrhorn"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/thomas-ehrhorn"
"Peter Heidt"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/peter-heidt"
"Ute Leidig"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/ute-leidig"
"Lena Düpont"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lena-duepont"
"Laura Neugebauer"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/laura-neugebauer"
"Martina Koeppen"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/martina-koeppen"
"Helge Limburg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-limburg"
"Markus Töns"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/markus-toens"
"Andrea Nunne"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/andrea-nunne"
"Olaf Meister"," Bündnis 90/Die Grünen","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/olaf-meister"
"Jan Kürschner"," Bündnis 90/Die Grünen","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/jan-kuerschner"
"Brian Nickholz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/brian-nickholz"
"Herbert Wollmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/herbert-wollmann"
"Alexander Engelhard"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alexander-engelhard"
"Stefan Zierke"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-zierke"
"Alexander Schoch"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/alexander-schoch"
"Volker Mayer-Lay"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-mayer-lay"
"Thomas Krüger"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/thomas-krueger"
"Heiner Klemp"," Bündnis 90/Die Grünen","Brandenburg","https://www.abgeordnetenwatch.de//profile/heiner-klemp"
"Sarah Schweizer"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/sarah-schweizer"
"Lamya Kaddor"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/lamya-kaddor"
"Anne König"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/anne-koenig"
"Anna-Elisabeth von Treuenfels-Frowein"," FDP","Hamburg","https://www.abgeordnetenwatch.de//profile/anna-elisabeth-von-treuenfels-frowein"
"Urs Tabbert"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/urs-tabbert"
"Nina Andrieshen"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/nina-andrieshen"
"Katrin Langensiepen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katrin-langensiepen"
"Herbert Wollmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/herbert-wollmann"
"Alexander Engelhard"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alexander-engelhard"
"Stefan Zierke"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-zierke"
"Volker Mayer-Lay"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/volker-mayer-lay"
"Alexander Schoch"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/alexander-schoch"
"Thomas Krüger"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/thomas-krueger"
"Heiner Klemp"," Bündnis 90/Die Grünen","Brandenburg","https://www.abgeordnetenwatch.de//profile/heiner-klemp"
"Sarah Schweizer"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/sarah-schweizer"
"Lamya Kaddor"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/lamya-kaddor"
"Anne König"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/anne-koenig"
"Anna-Elisabeth von Treuenfels-Frowein"," FDP","Hamburg","https://www.abgeordnetenwatch.de//profile/anna-elisabeth-von-treuenfels-frowein"
"Urs Tabbert"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/urs-tabbert"
"Nina Andrieshen"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/nina-andrieshen"
"Katrin Langensiepen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katrin-langensiepen"
"Lutz Liebscher"," SPD","Thüringen","https://www.abgeordnetenwatch.de//profile/lutz-liebscher"
"Catarina dos Santos-Wintz"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/catarina-dos-santos-wintz"
"Claudia Loss"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/claudia-loss"
"Christoph Meyer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-meyer"
"Barbara Fuchs"," Bündnis 90/Die Grünen","Bayern","https://www.abgeordnetenwatch.de//profile/barbara-fuchs"
"Nicole Walter-Mundt"," CDU","Brandenburg","https://www.abgeordnetenwatch.de//profile/nicole-walter-mundt"
"Rasha Nasr"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rasha-nasr"
"Albert Stegemann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/albert-stegemann"
"Marianne Schieder"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/marianne-schieder"
"Sönke Rix"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/soenke-rix"
"Christa Möller-Metzger"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/christa-moeller-metzger"
"Thomas von Gizycki"," Bündnis 90/Die Grünen","Brandenburg","https://www.abgeordnetenwatch.de//profile/thomas-von-gizycki"
"Catherina Pieroth-Manelli"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/catherina-pieroth-manelli"
"Martina Englhardt-Kopf"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/martina-englhardt-kopf"
"Manfred Grund"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/manfred-grund"
"Hannes Gnauck"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/hannes-gnauck"
"Siegfried Lorek"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/siegfried-lorek"
"Kristin Brinker"," AfD","Berlin","https://www.abgeordnetenwatch.de//profile/kristin-brinker"
"Hubert Hüppe"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/hubert-hueppe"
