"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Linda Heitmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-heitmann"
"Christoph Hoffmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-hoffmann"
"Patrick Breyer"," PIRATEN","EU-Parlament","https://www.abgeordnetenwatch.de//profile/patrick-breyer"
"Jamila Anna Schäfer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/jamila-anna-schaefer"
"Bernd Rützel"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bernd-ruetzel"
"Zoe Mayer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/zoe-mayer"
"Zoe Mayer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/zoe-mayer"
"Florian Toncar"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/florian-toncar"
"Bettina Hagedorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bettina-hagedorn"
"Dagmar Schmidt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dagmar-schmidt"
"Damian Boeselager"," Volt","EU-Parlament","https://www.abgeordnetenwatch.de//profile/damian-boeselager"
"Janosch Dahmen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/janosch-dahmen"
"Katja Mast"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-mast"
"Sonja Eichwede"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sonja-eichwede"
"Martin Dulig"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/martin-dulig"
"Bijan Djir-Sarai"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/bijan-djir-sarai"
"Joe Weingarten"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/joe-weingarten"
"Canan Bayram"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/canan-bayram"
"Heike Baehrens"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/heike-baehrens"
"Takis Mehmet Ali"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/takis-mehmet-ali"
"Michael Theurer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-theurer"
"Matthias Mieves"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-mieves"
