"Name","Party","Parliament","Profile"
"Lukas Sieper"," PdF","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lukas-sieper/fragen-antworten?page=0"
"Jens Geier"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jens-geier/fragen-antworten?page=0"
"Anja Arndt"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/anja-arndt/fragen-antworten?page=0"
"Manfred Weber"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/manfred-weber/fragen-antworten?page=0"
"Katrin Langensiepen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katrin-langensiepen/fragen-antworten?page=0"
"Michael Bloss"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/michael-bloss/fragen-antworten?page=0"
"Sabrina Repp"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sabrina-repp/fragen-antworten?page=0"
"Martin Häusling"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-haeusling/fragen-antworten?page=0"
"Friedrich Pürner"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/friedrich-puerner/fragen-antworten?page=0"
"Petr Bystron"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/petr-bystron/fragen-antworten?page=0"
"René Repasi"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rene-repasi/fragen-antworten?page=0"
"Rasmus Andresen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rasmus-andresen/fragen-antworten?page=0"
"Udo Bullmann"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/udo-bullmann/fragen-antworten?page=0"
"Ruth Firmenich"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/ruth-firmenich/fragen-antworten?page=0"
"Marc Jongen"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/marc-jongen/fragen-antworten?page=0"
"Manuela Ripa"," ÖDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/manuela-ripa/fragen-antworten?page=0"
"Matthias Ecke"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/matthias-ecke/fragen-antworten?page=0"
"Svenja Hahn"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/svenja-hahn/fragen-antworten?page=0"
"Marie-Agnes Strack-Zimmermann"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/marie-agnes-strack-zimmermann/fragen-antworten?page=0"
"Sabine Verheyen"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sabine-verheyen/fragen-antworten?page=0"
"Oliver Schenk"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/oliver-schenk/fragen-antworten?page=0"
"Andrea Wechsler"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/andrea-wechsler/fragen-antworten?page=0"
"Daniel Freund"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-freund/fragen-antworten?page=0"
"Moritz Körner"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/moritz-koerner/fragen-antworten?page=0"
"Hans Neuhoff"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/hans-neuhoff/fragen-antworten?page=0"
"Christine Singer"," FREIE WÄHLER","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christine-singer/fragen-antworten?page=0"
"Siegbert Droese"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/siegbert-droese/fragen-antworten?page=0"
"Maximilian Krah"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/maximilian-krah/fragen-antworten?page=0"
"Hannah Neumann"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/hannah-neumann/fragen-antworten?page=0"
"Vivien Costanzo"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/vivien-costanzo/fragen-antworten?page=0"
"Jan-Peter Warnke"," BSW","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jan-peter-warnke/fragen-antworten?page=0"
"Joachim Streit"," FREIE WÄHLER","EU-Parlament","https://www.abgeordnetenwatch.de//profile/joachim-streit/fragen-antworten?page=0"
"David McAllister"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/david-mcallister/fragen-antworten?page=0"
"Jan-Christoph Oetjen"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jan-christoph-oetjen/fragen-antworten?page=0"
"Nela Riehl"," Volt","EU-Parlament","https://www.abgeordnetenwatch.de//profile/nela-riehl/fragen-antworten?page=0"
"Tobias Cremer"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/tobias-cremer/fragen-antworten?page=0"
"Heinz Michael Gahler"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/heinz-michael-gahler/fragen-antworten?page=0"
"Martin Sonneborn"," Die PARTEI","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-sonneborn/fragen-antworten?page=0"
"Jens Gieseke"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jens-gieseke/fragen-antworten?page=0"
"Sven Simon"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/sven-simon/fragen-antworten?page=0"
"Tiemo Wölken"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/tiemo-woelken/fragen-antworten?page=0"
"Mary Khan-Hohloch"," AfD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/mary-khan-hohloch/fragen-antworten?page=0"
"Gabriele Bischoff"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/gabriele-bischoff/fragen-antworten?page=0"
"Peter Liese"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/peter-liese/fragen-antworten?page=0"
"Christine Schneider"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/christine-schneider/fragen-antworten?page=0"
"Dennis Radtke"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/dennis-radtke/fragen-antworten?page=0"
"Lena Düpont"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lena-duepont/fragen-antworten?page=0"
"Lukas Sieper"," PdF","EU-Parlament","https://www.abgeordnetenwatch.de//profile/lukas-sieper/fragen-antworten?page=0"
