Name,Party,Parliament,Profile
"75","Michael Theurer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-theurer/fragen-antworten?page=0"
"76","Matthias Mieves"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-mieves/fragen-antworten?page=0"
"77","Reem Alabali-Radovan"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/reem-alabali-radovan/fragen-antworten?page=0"
"78","Ariane Fäscher"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ariane-faescher/fragen-antworten?page=0"
"79","Özlem Demirel"," DIE LINKE","EU-Parlament","https://www.abgeordnetenwatch.de//profile/oezlem-demirel/fragen-antworten?page=0"
"80","Ole Thorben Buschhüter"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/ole-thorben-buschhueter/fragen-antworten?page=0"
"81","Erwin Rüddel"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/erwin-rueddel/fragen-antworten?page=0"
"82","Dorothee Martin"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dorothee-martin/fragen-antworten?page=0"
"83","Ska Keller"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/ska-keller/fragen-antworten?page=0"
"84","Claudia Raffelhüschen"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/claudia-raffelhueschen/fragen-antworten?page=0"
"85","Christoph Ploß"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-ploss/fragen-antworten?page=0"
"86","Paula Piechotta"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/paula-piechotta/fragen-antworten?page=0"
"87","Johannes Vogel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-vogel/fragen-antworten?page=0"
"88","Joana Cotar"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/joana-cotar/fragen-antworten?page=0"
"89","Sebastian Fiedler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-fiedler/fragen-antworten?page=0"
"90","Maria Noichl"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/maria-noichl/fragen-antworten?page=0"
"91","Franziska Brantner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/franziska-brantner/fragen-antworten?page=0"
"92","Michael Kruse"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kruse/fragen-antworten?page=0"
"93","Dirk Heidenblut"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-heidenblut/fragen-antworten?page=0"
"94","Timo Schisanowski"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/timo-schisanowski/fragen-antworten?page=0"
"95","Helge Lindh"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-lindh/fragen-antworten?page=0"
"96","Nezahat Baradari"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nezahat-baradari/fragen-antworten?page=0"
"97","Armand Zorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/armand-zorn/fragen-antworten?page=0"
"98","Stefan Gelbhaar"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-gelbhaar/fragen-antworten?page=0"
"99","Christoph de Vries"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-de-vries/fragen-antworten?page=0"
"100","Rita Schwarzelühr-Sutter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/rita-schwarzeluehr-sutter/fragen-antworten?page=0"
"101","Stephan Thomae"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-thomae/fragen-antworten?page=0"
"102","Nese Erikli"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nese-erikli/fragen-antworten?page=0"
"103","Daniela Ludwig"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/daniela-ludwig/fragen-antworten?page=0"
"104","Katharina Beck"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katharina-beck/fragen-antworten?page=0"
"105","Detlef Müller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/detlef-mueller/fragen-antworten?page=0"
"106","Chantal Kopf"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/chantal-kopf/fragen-antworten?page=0"
"107","Bengt Bergt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bengt-bergt/fragen-antworten?page=0"
"108","Petra Pau"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/petra-pau/fragen-antworten?page=0"
"109","Falko Droßmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/falko-drossmann/fragen-antworten?page=0"
"110","David McAllister"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/david-mcallister/fragen-antworten?page=0"
"111","Ronja Kemmer"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ronja-kemmer/fragen-antworten?page=0"
"112","Nina Scheer"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nina-scheer/fragen-antworten?page=0"
"113","Olaf in der Beek"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/olaf-in-der-beek/fragen-antworten?page=0"
"114","Zaklin Nastić"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/zaklin-nastic/fragen-antworten?page=0"
"115","Rosa Domm"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/rosa-domm/fragen-antworten?page=0"
"116","Ates Gürpinar"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/ates-guerpinar/fragen-antworten?page=0"
"117","Bernhard Herrmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/bernhard-herrmann/fragen-antworten?page=0"
"118","Roger Beckamp"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/roger-beckamp/fragen-antworten?page=0"
"119","Kerstin Griese"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/kerstin-griese/fragen-antworten?page=0"
"120","Erik Marquardt"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/erik-marquardt/fragen-antworten?page=0"
"121","Gabriele Bischoff"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/gabriele-bischoff/fragen-antworten?page=0"
"122","Alexander Dobrindt"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alexander-dobrindt/fragen-antworten?page=0"
"123","Renate Künast"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/renate-kuenast/fragen-antworten?page=0"
"124","Beate Walter-Rosenheimer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/beate-walter-rosenheimer/fragen-antworten?page=0"
"125","Daniel Baldy"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/daniel-baldy/fragen-antworten?page=0"
"126","Matthias Miersch"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/matthias-miersch/fragen-antworten?page=0"
"127","Anke Rehlinger"," SPD","Saarland","https://www.abgeordnetenwatch.de//profile/anke-rehlinger/fragen-antworten?page=0"
"128","Reinhard Houben"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/reinhard-houben/fragen-antworten?page=0"
"129","Marcel Emmerich"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/marcel-emmerich/fragen-antworten?page=0"
"130","Metin Hakverdi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/metin-hakverdi/fragen-antworten?page=0"
"131","Aydan Özoğuz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/aydan-oezoguz/fragen-antworten?page=0"
"132","Tino Sorge"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/tino-sorge/fragen-antworten?page=0"
"133","Andrea Lindholz"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/andrea-lindholz/fragen-antworten?page=0"
"134","Linda Teuteberg"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-teuteberg/fragen-antworten?page=0"
"135","Adis Ahmetovic"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/adis-ahmetovic/fragen-antworten?page=0"
"136","Julia Verlinden"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/julia-verlinden/fragen-antworten?page=0"
"137","Tessa Ganserer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tessa-ganserer/fragen-antworten?page=0"
"138","Stefan Seidler"," SSW","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-seidler/fragen-antworten?page=0"
"139","Stephan Pilsinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-pilsinger/fragen-antworten?page=0"
"140","Frauke Heiligenstadt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt/fragen-antworten?page=0"
"141","Sören Pellmann"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/soeren-pellmann/fragen-antworten?page=0"
"142","Stephan Pilsinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/stephan-pilsinger/fragen-antworten?page=0"
"143","Frauke Heiligenstadt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt/fragen-antworten?page=0"
"144","Christian Piwarz"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/christian-piwarz/fragen-antworten?page=0"
"145","Helge Braun"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/helge-braun/fragen-antworten?page=0"
"146","Tobias B. Bacherle"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-b-bacherle/fragen-antworten?page=0"
"147","Nyke Slawik"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/nyke-slawik/fragen-antworten?page=0"
"148","Sabine Friedel"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/sabine-friedel/fragen-antworten?page=0"
"149","Verena Hubertz"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/verena-hubertz/fragen-antworten?page=0"
"150","Frank Schäffler"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/frank-schaeffler/fragen-antworten?page=0"
"151","Svenja Stadler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/svenja-stadler/fragen-antworten?page=0"
"152","Kathrin Vogler"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/kathrin-vogler/fragen-antworten?page=0"
"153","Martin Schirdewan"," DIE LINKE","EU-Parlament","https://www.abgeordnetenwatch.de//profile/martin-schirdewan/fragen-antworten?page=0"
"154","Udo Schiefner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/udo-schiefner/fragen-antworten?page=0"
"155","Bärbel Kofler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/baerbel-kofler/fragen-antworten?page=0"
"156","Daniel Freund"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/daniel-freund/fragen-antworten?page=0"
"157","Katja Hessel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-hessel/fragen-antworten?page=0"
"158","Svenja Hahn"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/svenja-hahn/fragen-antworten?page=0"
"159","Eva Botzenhart"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/eva-botzenhart/fragen-antworten?page=0"
"160","Johannes Arlt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-arlt/fragen-antworten?page=0"
"161","Johannes Arlt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-arlt/fragen-antworten?page=0"
"162","Jan Dieren"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-dieren/fragen-antworten?page=0"
"163","Tanja Machalet"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/tanja-machalet/fragen-antworten?page=0"
"164","Jessica Rosenthal"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jessica-rosenthal/fragen-antworten?page=0"
"165","Ulle Schauws"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ulle-schauws/fragen-antworten?page=0"
"166","Olaf Duge"," Bündnis 90/Die Grünen","Hamburg","https://www.abgeordnetenwatch.de//profile/olaf-duge/fragen-antworten?page=0"
"167","Martina Stamm-Fibich"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/martina-stamm-fibich/fragen-antworten?page=0"
"168","Jana Schimke"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/jana-schimke/fragen-antworten?page=0"
"169","Judith Skudelny"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/judith-skudelny/fragen-antworten?page=0"
"170","Johannes Fechner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-fechner/fragen-antworten?page=0"
"171","Sven-Christian Kindler"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/sven-christian-kindler/fragen-antworten?page=0"
"172","Tobias Lindner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-lindner/fragen-antworten?page=0"
"173","Uwe Witt"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/uwe-witt/fragen-antworten?page=0"
"174","Anna Cavazzini"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/anna-cavazzini/fragen-antworten?page=0"
"175","Michael Schrodi"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-schrodi/fragen-antworten?page=0"
"176","Nils Schmid"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nils-schmid/fragen-antworten?page=0"
"177","Hanna Steinmüller"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/hanna-steinmueller/fragen-antworten?page=0"
"178","Till Steffen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/till-steffen/fragen-antworten?page=0"
"179","Katja Keul"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-keul/fragen-antworten?page=0"
"180","Katarina Barley"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/katarina-barley/fragen-antworten?page=0"
"181","Nils Schmid"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/nils-schmid/fragen-antworten?page=0"
"182","Dennis Rohde"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dennis-rohde/fragen-antworten?page=0"
"183","Astrid Rothe-Beinlich"," Bündnis 90/Die Grünen","Thüringen","https://www.abgeordnetenwatch.de//profile/astrid-rothe-beinlich/fragen-antworten?page=0"
"184","Markus Herbrand"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/markus-herbrand/fragen-antworten?page=0"
"185","Jan-Christoph Oetjen"," FDP","EU-Parlament","https://www.abgeordnetenwatch.de//profile/jan-christoph-oetjen/fragen-antworten?page=0"
"186","Luise Amtsberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/luise-amtsberg/fragen-antworten?page=0"
"187","Jakob Blankenburg"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jakob-blankenburg/fragen-antworten?page=0"
"188","Oliver Luksic"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/oliver-luksic/fragen-antworten?page=0"
"189","Dennis Thering"," CDU","Hamburg","https://www.abgeordnetenwatch.de//profile/dennis-thering/fragen-antworten?page=0"
"190","Nicole Bauer"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/nicole-bauer/fragen-antworten?page=0"
"191","Hannes Walter"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/hannes-walter/fragen-antworten?page=0"
"192","Andreas Schwarz"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-schwarz-0/fragen-antworten?page=0"
"193","Sören Bartol"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/soeren-bartol/fragen-antworten?page=0"
"194","Gökay Akbulut"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/goekay-akbulut/fragen-antworten?page=0"
"195","Jan Korte"," DIE LINKE","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-korte/fragen-antworten?page=0"
"196","Stephanie Aeffner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stephanie-aeffner/fragen-antworten?page=0"
"197","Saskia Weishaupt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/saskia-weishaupt/fragen-antworten?page=0"
"198","Malte Kaufmann"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/malte-kaufmann/fragen-antworten?page=0"
"199","Siemtje Möller"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/siemtje-moeller/fragen-antworten?page=0"
"200","Julia Willie Hamburg"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/julia-willie-hamburg/fragen-antworten?page=0"
"201","Agnieszka Brugger"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/agnieszka-brugger/fragen-antworten?page=0"
"202","Merle Spellerberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/merle-spellerberg/fragen-antworten?page=0"
